Date,Source,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2015,AQS,1,0.7,ppm,8,CCNY,19,79,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/02/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/03/2015,AQS,1,0.8,ppm,9,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/04/2015,AQS,1,0.8,ppm,9,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/05/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/06/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/07/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/08/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/09/2015,AQS,1,0,ppm,0,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/10/2015,AQS,1,0,ppm,0,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/11/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/12/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/13/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/14/2015,AQS,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/15/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/16/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/17/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/18/2015,AQS,1,0.8,ppm,9,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/19/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/20/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/21/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/22/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/23/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/24/2015,AQS,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/25/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/26/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/27/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/28/2015,AQS,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/29/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/30/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/31/2015,AQS,1,0,ppm,0,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/01/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/02/2015,AQS,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/03/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/04/2015,AQS,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/05/2015,AQS,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/06/2015,AQS,1,0.1,ppm,1,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/07/2015,AQS,1,0.9,ppm,10,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
02/08/2015,AQS,1,1.1,ppm,13,CCNY,24,100,42101,Carbon monoxide,54,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
