Date,Source,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/02/2015,AQS,1,0.02,ppm,19,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/03/2015,AQS,1,0.014,ppm,13,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/04/2015,AQS,1,0.017,ppm,16,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/05/2015,AQS,1,0.028,ppm,26,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/06/2015,AQS,1,0.013,ppm,12,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/07/2015,AQS,1,0.026,ppm,24,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/08/2015,AQS,1,0.019,ppm,18,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/09/2015,AQS,1,0.022,ppm,20,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/10/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/11/2015,AQS,1,0.011,ppm,10,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/12/2015,AQS,1,0.013,ppm,12,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/13/2015,AQS,1,0.024,ppm,22,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/14/2015,AQS,1,0.009,ppm,8,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/15/2015,AQS,1,0.019,ppm,18,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/16/2015,AQS,1,0.026,ppm,24,CCNY,17,100,44201,Ozone,47,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
